"league","season","player_name","player_position","Age","league_2","transfer_fee","window","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","SoT_per_90_Standard","G_per_SoT_Standard","xG_Expected","G_minus_xG_Expected","Tkl_Tackles","TklW_Tackles","Tkl_Challenges","Tkl_percent_Challenges","Lost_Challenges","Sh_Blocks","Pass_Blocks","Int","Tkl.Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","Ast","xAG","xA_Expected","A_minus_xAG_Expected"
"Serie A",2021,"Felipe Caicedo","Forward",31,"Serie A",2e+06,"Summer",10.3,8,30,11,36.7,1.07,0.64,5.5,2.5,10,7,1,12.5,7,0,7,4,14,2,0,185,261,70.9,0,0.7,0.4,-0.7
"Serie A",2022,"Mathias Olivera","Defender",23,"LaLiga",16500000,"Summer",31.1,1,24,7,29.2,0.22,0.14,2.4,-1.4,79,47,40,58,29,4,41,55,134,67,1,1017,1430,71.1,3,2.4,1.9,0.6
"Serie A",2022,"Robin Gosens","Midfielder",27,"Serie A",27400000,"Summer",5.1,1,15,4,26.7,0.78,0.25,1.7,-0.7,7,3,4,50,4,0,4,9,16,1,0,212,261,81.2,0,0.4,0.4,-0.4
"Serie A",2022,"Filip Kostic","Midfielder",28,"Bundesliga",1.3e+07,"Summer",28,4,51,18,35.3,0.64,0.22,2.4,1.6,44,17,20,37.7,33,1,23,15,59,24,0,1007,1621,62.1,9,9.2,9.7,-0.2
"Serie A",2022,"Zeki Celik","Defender",24,"Ligue 1",7e+06,"Summer",30,2,23,3,13,0.1,0.67,1.1,0.9,64,37,36,57.1,27,9,23,43,107,62,2,1390,1755,79.2,3,1.8,2.8,1.2
"Serie A",2022,"Jeremie Boga","Forward",24,"Serie A",2.2e+07,"Summer",7.4,0,15,5,33.3,0.67,0,1,-1,7,4,2,66.7,1,0,3,2,9,1,1,216,266,81.2,2,0.8,0.7,1.2
"Serie A",2022,"Ederson","Midfielder",22,"Serie A",21400000,"Summer",12.7,2,21,9,42.9,0.71,0.22,2,0,29,18,14,53.8,12,2,9,19,48,8,0,297,370,80.3,1,1,0.5,0
"Serie A",2022,"Brandon Soppy","Midfielder",19,"Serie A",9100000,"Summer",8.6,0,6,2,33.3,0.23,0,0.4,-0.4,20,9,11,68.8,5,2,8,5,25,9,1,167,236,70.8,0,0.2,0.2,-0.2
"Serie A",2022,"Mattia Zaccagni","Forward",26,"Serie A",7100000,"Summer",2,2,3,2,66.7,1,0.5,1.1,0.9,3,1,1,50,1,0,1,4,7,0,0,56,70,80,0,1.1,1.3,-1.1
"Serie A",2022,"Antonin Barak","Midfielder",26,"Serie A",7860000,"Winter",26,11,47,20,42.6,0.77,0.35,8.9,2.1,18,8,5,29.4,12,5,27,6,24,26,0,876,1107,79.1,4,2.7,3.1,1.3
"Serie A",2022,"Abdelhamid Sabiri","Midfielder",24,"Serie A",2500000,"Winter",9.9,3,16,9,56.3,0.91,0.33,1.4,1.6,34,18,7,28,18,2,8,7,41,3,0,259,346,74.9,2,1.6,0.7,0.4
"Serie A",2022,"Armand Lauriente","Forward",22,"Ligue 1",10100000,"Summer",27.5,6,84,36,42.9,1.31,0.14,7.5,-1.5,33,18,11,36.7,19,2,25,15,48,3,0,553,710,77.9,2,4,4.1,-2
"Serie A",2022,"Janis Antiste","Forward",18,"Serie A",5680000,"Summer",8.8,1,11,2,18.2,0.23,0.5,1.4,-0.4,18,11,5,38.5,8,1,6,4,22,6,0,136,215,63.3,0,0.2,0.5,-0.2
"Serie A",2022,"Martin Erlic","Defender",23,"Serie A",3e+06,"Summer",28.6,2,15,3,20,0.1,0.67,3,-1,28,16,10,55.6,8,39,15,28,56,122,1,882,1101,80.1,0,0.4,0.3,-0.4
"Serie A",2022,"Samuele Ricci","Midfielder",19,"Serie A",8500000,"Summer",17,1,8,1,12.5,0.06,1,0.2,0.8,33,19,20,58.8,14,5,19,31,64,18,0,832,932,89.3,1,0.3,0.6,0.7
"Serie A",2022,"Leonardo Mancuso","Forward",29,"Serie A",2790000,"Summer",4.7,1,12,5,41.7,1.06,0.2,1.9,-0.9,1,1,0,0,6,0,2,1,2,2,0,51,77,66.2,0,0.3,0.2,-0.3
"Serie A",2022,"Giulio Maggiore","Midfielder",23,"Serie A",4500000,"Summer",31.3,2,42,8,19,0.26,0.25,4,-2,58,32,31,40.3,46,5,25,29,87,33,0,834,1123,74.3,3,2.4,1.9,0.6
"Serie B",2022,"Felix Afena-Gyan","Forward",18,"Serie A",6e+06,"Summer",7.4,2,17,7,41.2,0.94,0.29,1.7,0.3,10,3,4,57.1,3,0,4,3,13,0,0,114,152,75,0,0.6,0.2,-0.6
"Serie B",2022,"Vlad Chiriche?","Defender",31,"Serie A",2e+06,"Summer",25.6,0,9,2,22.2,0.08,0,0.4,-0.4,28,15,10,47.6,11,21,13,41,69,71,4,1224,1342,91.2,0,0,0.3,0
